session_id,session_created,focal_id,focal_counter,foc_tab,foc_nn,foc_groom,foc_aggr,path_foc_tab,path_foc_nn,path_foc_groom,path_foc_aggr
2023-02-12_cp_findus_1,2023-02-16 09:23:55,cp,1,NA,NA,NA,NA,/Users/cneumann/Documents/data_collector/www/2023-02-12_pb_findus/2023-02-12_cp_findus_1_foctab.csv,/Users/cneumann/Documents/data_collector/www/2023-02-12_pb_findus/2023-02-12_cp_findus_1_nn.csv,/Users/cneumann/Documents/data_collector/www/2023-02-12_pb_findus/2023-02-12_cp_findus_1_groom.csv,/Users/cneumann/Documents/data_collector/www/2023-02-12_pb_findus/2023-02-12_cp_findus_1_aggr.csv
2023-02-12_bp_findus_1,2023-02-16 09:25:07,bp,1,NA,NA,NA,NA,/Users/cneumann/Documents/data_collector/www/2023-02-12_pb_findus/2023-02-12_bp_findus_1_foctab.csv,/Users/cneumann/Documents/data_collector/www/2023-02-12_pb_findus/2023-02-12_bp_findus_1_nn.csv,/Users/cneumann/Documents/data_collector/www/2023-02-12_pb_findus/2023-02-12_bp_findus_1_groom.csv,/Users/cneumann/Documents/data_collector/www/2023-02-12_pb_findus/2023-02-12_bp_findus_1_aggr.csv
2023-02-12_ap_findus_1,2023-02-16 09:33:22,ap,1,NA,NA,NA,NA,/Users/cneumann/Documents/data_collector/www/2023-02-12_pb_findus/2023-02-12_ap_findus_1_foctab.csv,/Users/cneumann/Documents/data_collector/www/2023-02-12_pb_findus/2023-02-12_ap_findus_1_nn.csv,/Users/cneumann/Documents/data_collector/www/2023-02-12_pb_findus/2023-02-12_ap_findus_1_groom.csv,/Users/cneumann/Documents/data_collector/www/2023-02-12_pb_findus/2023-02-12_ap_findus_1_aggr.csv
2023-02-12_lm_findus_1,2023-02-16 09:39:34,lm,1,NA,NA,NA,NA,/Users/cneumann/Documents/data_collector/www/2023-02-12_pb_findus/2023-02-12_lm_findus_1_foctab.csv,/Users/cneumann/Documents/data_collector/www/2023-02-12_pb_findus/2023-02-12_lm_findus_1_nn.csv,/Users/cneumann/Documents/data_collector/www/2023-02-12_pb_findus/2023-02-12_lm_findus_1_groom.csv,/Users/cneumann/Documents/data_collector/www/2023-02-12_pb_findus/2023-02-12_lm_findus_1_aggr.csv
